d,delta,G_star,lo,hi,secs
2,0.001,5.535639527855328,5.4170221877475715,5.656854249492381,57.23989176750183
4,0.001,6.874477192489912,6.727171322029717,7.025008641493198,770.0287432670593
8,0.001,8.91509394076714,8.724061861322062,9.110309078053533,883.2368371486664
16,0.001,12.073315420747385,11.814609167515997,12.337686603263528,1140.7629523277283
32,0.001,16.350354378465866,16.0,16.70838051883862,1186.3448474407196
64,0.001,22.142558111421312,21.668088750990286,22.627416997969522,892.5077345371246
2,1e-05,10.60189314527793,10.374716437208077,10.834044375495143,60.75697731971741
4,1e-05,12.607846760863092,12.337686603263528,12.883922655594036,799.8279469013214
8,1e-05,15.657152993403201,15.321652491177177,16.0,779.5413439273834
16,1e-05,20.30481531506773,19.869724993175744,20.749432874416154,741.3149325847626
32,1e-05,26.332087650463443,25.767845311188072,26.908685288118868,745.7408227920532
64,1e-05,35.66037576306856,34.896247445288246,36.44123631221413,789.3210535049438
