d,seed,G_star,lo,hi,secs
8,0,5.4170221877475715,5.187358218604039,5.656854249492381,1.4558219909667969
8,1,4.555154539026766,4.362030930661031,4.756828460010884,2.8941357135772705
8,2,4.967431248293936,4.756828460010884,5.187358218604039,4.334104061126709
32,0,5.4170221877475715,5.187358218604039,5.656854249492381,6.176029682159424
32,1,4.967431248293936,4.756828460010884,5.187358218604039,12.389854431152344
32,2,5.907304583757998,5.656854249492381,6.168843301631764,18.602142810821533
128,0,4.555154539026766,4.362030930661031,4.756828460010884,23.213382482528687
128,1,5.4170221877475715,5.187358218604039,5.656854249492381,46.44365644454956
128,2,5.907304583757998,5.656854249492381,6.168843301631764,69.92090368270874
