d,tau,tr_sub,tr_full
8,0.1,1.4296240381643404,5.7152783244786205
8,0.5,0.7334006926230043,2.7333886926470043
8,2.0,0.6186954033954543,1.285359070063621
32,0.1,1.4298640357643535,22.85813546733575
32,0.5,0.7334486925270023,10.733388692647003
32,2.0,0.6187074033894537,3.952025736730288
128,0.1,1.4308240261644682,91.42956403876447
128,0.5,0.7336406921430069,42.733388692647
128,2.0,0.6187554033654546,14.618692403396956
512,0.1,1.4346639877648562,365.71527832447885
512,0.5,0.7344086906070106,170.733388692647
512,2.0,0.618947403269455,57.28535907006361
